,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
639319,花東空品區,關山,2018-01-01 00:00:00,0,30.0,32.6,29.11889992324,-0.8811000767599992,TT_DOWN
639320,花東空品區,關山,2018-01-01 01:00:00,1,30.0,32.2,28.73668769428,-1.2633123057199995,TT_DOWN
639321,花東空品區,關山,2018-01-01 02:00:00,2,31.0,33.2,29.69221826668,-1.3077817333199988,TT_DOWN
639322,花東空品區,關山,2018-01-01 03:00:00,3,31.0,32.2,28.73668769428,-2.2633123057199995,TT_DOWN
639323,花東空品區,關山,2018-01-01 04:00:00,4,31.0,32.0,28.5455815798,-2.4544184201999997,TT_DOWN
639324,花東空品區,關山,2018-01-01 05:00:00,5,32.0,30.3,26.921179606720003,-5.078820393279997,TT_DOWN
639325,花東空品區,關山,2018-01-01 06:00:00,6,32.0,28.0,24.723459290199997,-7.276540709800003,TT_DOWN
639326,花東空品區,關山,2018-01-01 07:00:00,7,31.0,27.5,24.245694004,-6.754305995999999,TT_DOWN
639327,花東空品區,關山,2018-01-01 08:00:00,8,31.0,31.3,27.876710179119996,-3.1232898208800037,TT_DOWN
639328,花東空品區,關山,2018-01-01 09:00:00,9,31.0,35.2,31.603279411480003,0.6032794114800026,TT_DOWN
639329,花東空品區,關山,2018-01-01 10:00:00,10,32.0,37.7,33.99210584248,1.9921058424800009,TT_DOWN
639330,花東空品區,關山,2018-01-01 11:00:00,11,33.0,41.0,37.1453567314,4.1453567314,TT_DOWN
639331,花東空品區,關山,2018-01-01 12:00:00,12,34.0,41.9,38.00533424656,4.005334246559997,TT_DOWN
639332,花東空品區,關山,2018-01-01 13:00:00,13,36.0,41.9,38.00533424656,2.005334246559997,TT_DOWN
639333,花東空品區,關山,2018-01-01 14:00:00,14,37.0,41.0,37.1453567314,0.14535673139999972,TT_DOWN
639334,花東空品區,關山,2018-01-01 15:00:00,15,39.0,40.8,36.95425061691999,-2.0457493830800075,TT_DOWN
639335,花東空品區,關山,2018-01-01 16:00:00,16,40.0,40.1,36.285379216239996,-3.7146207837600045,TT_DOWN
639336,花東空品區,關山,2018-01-01 17:00:00,17,40.0,37.7,33.99210584248,-6.007894157519999,TT_DOWN
639337,花東空品區,關山,2018-01-01 18:00:00,18,40.0,37.3,33.60989361351999,-6.3901063864800065,TT_DOWN
639338,花東空品區,關山,2018-01-01 19:00:00,19,40.0,35.8,32.176597754919996,-7.823402245080004,TT_DOWN
639339,花東空品區,關山,2018-01-01 20:00:00,20,39.0,34.3,30.74330189631999,-8.256698103680009,TT_DOWN
639340,花東空品區,關山,2018-01-01 21:00:00,21,37.0,32.1,28.641134637039997,-8.358865362960003,TT_DOWN
639341,花東空品區,關山,2018-01-01 22:00:00,22,36.0,29.2,25.87009597708,-10.129904022920002,TT_DOWN
639342,花東空品區,關山,2018-01-01 23:00:00,23,35.0,29.6,26.25230820604,-8.747691793960001,TT_DOWN
639343,花東空品區,關山,2018-01-02 00:00:00,0,33.0,29.0,25.678989862599998,-7.321010137400002,TT_DOWN
639344,花東空品區,關山,2018-01-02 01:00:00,1,32.0,26.8,23.576822603319997,-8.423177396680003,TT_DOWN
639345,花東空品區,關山,2018-01-02 02:00:00,2,30.0,24.8,21.665761458520002,-8.334238541479998,TT_DOWN
639346,花東空品區,關山,2018-01-02 03:00:00,3,29.0,22.3,19.276935027519997,-9.723064972480003,TT_DOWN
639347,花東空品區,關山,2018-01-02 04:00:00,4,26.0,17.9,15.072600508959999,-10.927399491040001,TT_DOWN
639348,花東空品區,關山,2018-01-02 05:00:00,5,24.0,15.9,13.16153936416,-10.83846063584,TT_DOWN
639349,花東空品區,關山,2018-01-02 06:00:00,6,24.0,22.7,19.659147256479997,-4.340852743520003,TT_DOWN
639350,花東空品區,關山,2018-01-02 07:00:00,7,22.0,19.1,16.21923719584,-5.780762804159998,TT_DOWN
639351,花東空品區,關山,2018-01-02 08:00:00,8,22.0,25.1,21.95242063024,-0.0475793697600011,TT_DOWN
639352,花東空品區,關山,2018-01-02 09:00:00,9,22.0,27.9,24.62790623296,2.627906232960001,TT_DOWN
639353,花東空品區,關山,2018-01-02 10:00:00,10,23.0,33.9,30.361089667359998,7.361089667359998,TT_DOWN
639354,花東空品區,關山,2018-01-02 11:00:00,11,25.0,36.2,32.558809983879996,7.558809983879996,TT_DOWN
639355,花東空品區,關山,2018-01-02 12:00:00,12,27.0,38.0,34.2787650142,7.2787650141999976,TT_DOWN
639356,花東空品區,關山,2018-01-02 13:00:00,13,30.0,37.9,34.183211956959994,4.183211956959994,TT_DOWN
639357,花東空品區,關山,2018-01-02 14:00:00,14,32.0,38.2,34.46987112868,2.4698711286799977,TT_DOWN
639358,花東空品區,關山,2018-01-02 15:00:00,15,34.0,34.9,31.31662023975999,-2.6833797602400082,TT_DOWN
639359,花東空品區,關山,2018-01-02 16:00:00,16,35.0,34.3,30.74330189631999,-4.256698103680009,TT_DOWN
639360,花東空品區,關山,2018-01-02 17:00:00,17,36.0,32.5,29.023346865999997,-6.976653134000003,TT_DOWN
639361,花東空品區,關山,2018-01-02 18:00:00,18,35.0,29.7,26.347861263279995,-8.652138736720005,TT_DOWN
639362,花東空品區,關山,2018-01-02 19:00:00,19,34.0,30.2,26.82562654948,-7.174373450520001,TT_DOWN
