,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
166440,北部空品區,陽明,2018-01-01 00:00:00,0,45.0,47.6,42.55533039616,-2.4446696038399978,TT_DOWN
166441,北部空品區,陽明,2018-01-01 01:00:00,1,46.0,47.6,42.55533039616,-3.4446696038399978,TT_DOWN
166442,北部空品區,陽明,2018-01-01 02:00:00,2,46.0,47.6,42.55533039616,-3.4446696038399978,TT_DOWN
166443,北部空品區,陽明,2018-01-01 03:00:00,3,46.0,47.3,42.31521615643,-3.6847838435700027,TT_DOWN
166444,北部空品區,陽明,2018-01-01 04:00:00,4,47.0,46.9,41.995063836789996,-5.0049361632100045,TT_DOWN
166445,北部空品區,陽明,2018-01-01 05:00:00,5,47.0,47.5,42.47529231625,-4.524707683750002,TT_DOWN
166446,北部空品區,陽明,2018-01-01 06:00:00,6,47.0,47.8,42.715406555979996,-4.284593444020004,TT_DOWN
166447,北部空品區,陽明,2018-01-01 07:00:00,7,48.0,48.2,43.03555887562,-4.964441124380002,TT_DOWN
166448,北部空品區,陽明,2018-01-01 08:00:00,8,48.0,48.3,43.115596955529995,-4.884403044470005,TT_DOWN
166449,北部空品區,陽明,2018-01-01 09:00:00,9,48.0,47.4,42.395254236339994,-5.604745763660006,TT_DOWN
166450,北部空品區,陽明,2018-01-01 10:00:00,10,47.0,46.3,41.51483535733,-5.48516464267,TT_DOWN
166451,北部空品區,陽明,2018-01-01 11:00:00,11,47.0,45.9,41.19468303769,-5.805316962310002,TT_DOWN
166452,北部空品區,陽明,2018-01-01 12:00:00,12,47.0,45.5,40.874530718049996,-6.125469281950004,TT_DOWN
166453,北部空品區,陽明,2018-01-01 13:00:00,13,47.0,45.4,40.79449263814,-6.2055073618600005,TT_DOWN
166454,北部空品區,陽明,2018-01-01 14:00:00,14,47.0,46.6,41.75494959706,-5.245050402940002,TT_DOWN
166455,北部空品區,陽明,2018-01-01 15:00:00,15,47.0,47.1,42.155139996609996,-4.8448600033900036,TT_DOWN
166456,北部空品區,陽明,2018-01-01 16:00:00,16,46.0,46.9,41.995063836789996,-4.0049361632100045,TT_DOWN
166457,北部空品區,陽明,2018-01-01 17:00:00,17,46.0,47.1,42.155139996609996,-3.8448600033900036,TT_DOWN
166458,北部空品區,陽明,2018-01-01 18:00:00,18,47.0,48.4,43.19563503544,-3.8043649645600013,TT_DOWN
166459,北部空品區,陽明,2018-01-01 19:00:00,19,47.0,49.4,43.996015834539996,-3.003984165460004,TT_DOWN
166460,北部空品區,陽明,2018-01-01 20:00:00,20,47.0,47.5,42.47529231625,-4.524707683750002,TT_DOWN
166461,北部空品區,陽明,2018-01-01 21:00:00,21,47.0,46.2,41.43479727742,-5.565202722579997,TT_DOWN
166462,北部空品區,陽明,2018-01-01 22:00:00,22,47.0,45.4,40.79449263814,-6.2055073618600005,TT_DOWN
166463,北部空品區,陽明,2018-01-01 23:00:00,23,47.0,45.5,40.874530718049996,-6.125469281950004,TT_DOWN
166464,北部空品區,陽明,2018-01-02 00:00:00,0,46.0,41.0,37.2728171221,-8.727182877899999,TT_DOWN
166465,北部空品區,陽明,2018-01-02 01:00:00,1,46.0,42.9,38.79354064039,-7.206459359610001,TT_DOWN
166466,北部空品區,陽明,2018-01-02 02:00:00,2,45.0,39.7,36.23232208327,-8.767677916730001,TT_DOWN
166467,北部空品區,陽明,2018-01-02 03:00:00,3,44.0,41.4,37.592969441739996,-6.407030558260004,TT_DOWN
166468,北部空品區,陽明,2018-01-02 04:00:00,4,43.0,44.3,39.91407375913,-3.085926240870002,TT_DOWN
166469,北部空品區,陽明,2018-01-02 05:00:00,5,43.0,42.7,38.63346448057,-4.366535519430002,TT_DOWN
166470,北部空品區,陽明,2018-01-02 06:00:00,6,42.0,40.5,36.87262672255,-5.127373277449998,TT_DOWN
166471,北部空品區,陽明,2018-01-02 07:00:00,7,42.0,41.9,37.993159841289994,-4.0068401587100055,TT_DOWN
166472,北部空品區,陽明,2018-01-02 08:00:00,8,42.0,42.5,38.47338832075,-3.526611679250003,TT_DOWN
166473,北部空品區,陽明,2018-01-02 09:00:00,9,42.0,41.4,37.592969441739996,-4.407030558260004,TT_DOWN
166474,北部空品區,陽明,2018-01-02 10:00:00,10,42.0,39.4,35.992207843539994,-6.007792156460006,TT_DOWN
166475,北部空品區,陽明,2018-01-02 11:00:00,11,42.0,39.9,36.39239824309,-5.60760175691,TT_DOWN
166476,北部空品區,陽明,2018-01-02 12:00:00,12,41.0,40.3,36.712550562729994,-4.287449437270006,TT_DOWN
