,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
271559,竹苗空品區,頭份,2018-01-01 00:00:00,0,37.0,41.4,34.9802437141,-2.0197562859000016,TT_DOWN
271560,竹苗空品區,頭份,2018-01-01 01:00:00,1,39.0,43.0,36.2995984781,-2.700401521899998,TT_DOWN
271561,竹苗空品區,頭份,2018-01-01 02:00:00,2,40.0,44.4,37.454033896599995,-2.545966103400005,TT_DOWN
271562,竹苗空品區,頭份,2018-01-01 03:00:00,3,42.0,44.0,37.124195205599996,-4.875804794400004,TT_DOWN
271563,竹苗空品區,頭份,2018-01-01 04:00:00,4,42.0,44.4,37.454033896599995,-4.545966103400005,TT_DOWN
271564,竹苗空品區,頭份,2018-01-01 05:00:00,5,43.0,42.6,35.9697597871,-7.030240212899997,TT_DOWN
271565,竹苗空品區,頭份,2018-01-01 06:00:00,6,43.0,40.0,33.8258082956,-9.174191704400002,TT_DOWN
271566,竹苗空品區,頭份,2018-01-01 07:00:00,7,42.0,35.5,30.11512302185,-11.88487697815,TT_DOWN
271567,竹苗空品區,頭份,2018-01-01 08:00:00,8,41.0,35.6,30.1975826946,-10.802417305399999,TT_DOWN
271568,竹苗空品區,頭份,2018-01-01 09:00:00,9,41.0,44.6,37.6189532421,-3.381046757900002,TT_DOWN
271569,竹苗空品區,頭份,2018-01-01 10:00:00,10,42.0,47.8,40.2576627701,-1.7423372299000022,TT_DOWN
271570,竹苗空品區,頭份,2018-01-01 11:00:00,11,43.0,50.7,42.64899327985,-0.35100672014999645,TT_DOWN
271571,竹苗空品區,頭份,2018-01-01 12:00:00,12,44.0,52.9,44.463106080349995,0.4631060803499949,TT_DOWN
271572,竹苗空品區,頭份,2018-01-01 13:00:00,13,45.0,53.8,45.2052431351,0.20524313509999814,TT_DOWN
271573,竹苗空品區,頭份,2018-01-01 14:00:00,14,46.0,51.0,42.8963722981,-3.1036277019000025,TT_DOWN
271574,竹苗空品區,頭份,2018-01-01 15:00:00,15,48.0,46.9,39.515525715349995,-8.484474284650005,TT_DOWN
271575,竹苗空品區,頭份,2018-01-01 16:00:00,16,49.0,40.4,34.1556469866,-14.844353013400003,TT_DOWN
271576,竹苗空品區,頭份,2018-01-01 17:00:00,17,47.0,30.9,26.321978075349996,-20.678021924650004,TT_DOWN
271577,竹苗空品區,頭份,2018-01-01 18:00:00,18,44.0,28.7,24.507865274849998,-19.492134725150002,TT_DOWN
271578,竹苗空品區,頭份,2018-01-01 19:00:00,19,41.0,26.9,23.02359116535,-17.97640883465,TT_DOWN
271579,竹苗空品區,頭份,2018-01-01 20:00:00,20,38.0,24.6,21.1270186921,-16.8729813079,TT_DOWN
271580,竹苗空品區,頭份,2018-01-01 21:00:00,21,33.0,17.7,15.43730127235,-17.56269872765,TT_DOWN
271581,竹苗空品區,頭份,2018-01-01 22:00:00,22,28.0,7.5,7.026414651850001,-20.97358534815,TT_DOWN
271582,竹苗空品區,頭份,2018-01-01 23:00:00,23,22.0,2.8,3.1508100326,-18.8491899674,TT_DOWN
271583,竹苗空品區,頭份,2018-01-02 00:00:00,0,18.0,5.2,5.129842178600001,-12.8701578214,TT_DOWN
271584,竹苗空品區,頭份,2018-01-02 01:00:00,1,15.0,6.2,5.9544389061,-9.0455610939,TT_DOWN
271585,竹苗空品區,頭份,2018-01-02 02:00:00,2,12.0,4.8,4.8000034876,-7.1999965124,TT_DOWN
