,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
656839,其他,馬公,2018-01-01 00:00:00,0,44.0,48.6,44.15572382442,0.15572382442000077,TT_DOWN
656840,其他,馬公,2018-01-01 01:00:00,1,44.0,46.5,42.19234589805,-1.8076541019499999,TT_DOWN
656841,其他,馬公,2018-01-01 02:00:00,2,45.0,47.8,43.40777032866,-1.5922296713400002,TT_DOWN
656842,其他,馬公,2018-01-01 03:00:00,3,46.0,48.8,44.34271219836,-1.6572878016400026,TT_DOWN
656843,其他,馬公,2018-01-01 04:00:00,4,47.0,49.5,44.99717150715,-2.00282849285,TT_DOWN
656844,其他,馬公,2018-01-01 05:00:00,5,47.0,48.6,44.15572382442,-2.8442761755799992,TT_DOWN
656845,其他,馬公,2018-01-01 06:00:00,6,48.0,48.8,44.34271219836,-3.6572878016400026,TT_DOWN
656846,其他,馬公,2018-01-01 07:00:00,7,48.0,48.4,43.96873545048,-4.031264549520003,TT_DOWN
656847,其他,馬公,2018-01-01 08:00:00,8,48.0,47.6,43.22078195472,-4.779218045279997,TT_DOWN
656848,其他,馬公,2018-01-01 09:00:00,9,48.0,48.4,43.96873545048,-4.031264549520003,TT_DOWN
656849,其他,馬公,2018-01-01 10:00:00,10,49.0,50.7,46.11910175079,-2.8808982492099986,TT_DOWN
656850,其他,馬公,2018-01-01 11:00:00,11,49.0,53.3,48.54995061201,-0.45004938798999916,TT_DOWN
656851,其他,馬公,2018-01-01 12:00:00,12,50.0,53.9,49.11091573383,-0.889084266170002,TT_DOWN
656852,其他,馬公,2018-01-01 13:00:00,13,51.0,54.0,49.2044099208,-1.7955900791999966,TT_DOWN
656853,其他,馬公,2018-01-01 14:00:00,14,51.0,54.7,49.858869229590006,-1.141130770409994,TT_DOWN
656854,其他,馬公,2018-01-01 15:00:00,15,52.0,55.8,50.887305286259995,-1.1126947137400052,TT_DOWN
656855,其他,馬公,2018-01-01 16:00:00,16,53.0,53.8,49.01742154686,-3.9825784531400004,TT_DOWN
656856,其他,馬公,2018-01-01 17:00:00,17,54.0,52.6,47.89549130322,-6.104508696780002,TT_DOWN
656857,其他,馬公,2018-01-01 18:00:00,18,54.0,52.6,47.89549130322,-6.104508696780002,TT_DOWN
656858,其他,馬公,2018-01-01 19:00:00,19,54.0,52.8,48.082479677159995,-5.917520322840005,TT_DOWN
656859,其他,馬公,2018-01-01 20:00:00,20,53.0,50.5,45.93211337685,-7.067886623150002,TT_DOWN
656860,其他,馬公,2018-01-01 21:00:00,21,53.0,48.7,44.249218011390006,-8.750781988609994,TT_DOWN
656861,其他,馬公,2018-01-01 22:00:00,22,52.0,48.2,43.78174707654,-8.21825292346,TT_DOWN
656862,其他,馬公,2018-01-01 23:00:00,23,51.0,47.1,42.753311019870004,-8.246688980129996,TT_DOWN
656863,其他,馬公,2018-01-02 00:00:00,0,50.0,45.9,41.631380776229996,-8.368619223770004,TT_DOWN
656864,其他,馬公,2018-01-02 01:00:00,1,49.0,45.8,41.53788658926,-7.4621134107400025,TT_DOWN
656865,其他,馬公,2018-01-02 02:00:00,2,48.0,46.3,42.005357524109996,-5.994642475890004,TT_DOWN
656866,其他,馬公,2018-01-02 03:00:00,3,47.0,45.0,40.7899330935,-6.210066906500003,TT_DOWN
656867,其他,馬公,2018-01-02 04:00:00,4,46.0,44.6,40.41595634562,-5.584043654379997,TT_DOWN
656868,其他,馬公,2018-01-02 05:00:00,5,46.0,44.3,40.135473784709994,-5.864526215290006,TT_DOWN
656869,其他,馬公,2018-01-02 06:00:00,6,45.0,44.2,40.04197959774,-4.958020402259997,TT_DOWN
656870,其他,馬公,2018-01-02 07:00:00,7,45.0,41.7,37.70462492349,-7.295375076509998,TT_DOWN
656871,其他,馬公,2018-01-02 08:00:00,8,44.0,41.1,37.143659801670005,-6.856340198329995,TT_DOWN
656872,其他,馬公,2018-01-02 09:00:00,9,44.0,41.8,37.79811911046,-6.20188088954,TT_DOWN
656873,其他,馬公,2018-01-02 10:00:00,10,43.0,44.2,40.04197959774,-2.958020402259997,TT_DOWN
656874,其他,馬公,2018-01-02 11:00:00,11,44.0,48.5,44.06222963745,0.06222963745000243,TT_DOWN
656875,其他,馬公,2018-01-02 12:00:00,12,45.0,50.4,45.83861918988,0.8386191898799993,TT_DOWN
656876,其他,馬公,2018-01-02 13:00:00,13,46.0,52.7,47.988985490190004,1.9889854901900037,TT_DOWN
656877,其他,馬公,2018-01-02 14:00:00,14,47.0,54.7,49.858869229590006,2.858869229590006,TT_DOWN
656878,其他,馬公,2018-01-02 15:00:00,15,48.0,54.2,49.39139829474,1.39139829474,TT_DOWN
656879,其他,馬公,2018-01-02 16:00:00,16,50.0,50.5,45.93211337685,-4.067886623150002,TT_DOWN
656880,其他,馬公,2018-01-02 17:00:00,17,51.0,48.8,44.34271219836,-6.6572878016400026,TT_DOWN
656881,其他,馬公,2018-01-02 18:00:00,18,51.0,49.0,44.5297005723,-6.470299427699999,TT_DOWN
656882,其他,馬公,2018-01-02 19:00:00,19,51.0,46.5,42.19234589805,-8.80765410195,TT_DOWN
656883,其他,馬公,2018-01-02 20:00:00,20,50.0,43.6,39.48101447592,-10.518985524080001,TT_DOWN
656884,其他,馬公,2018-01-02 21:00:00,21,49.0,44.1,39.948485410770004,-9.051514589229996,TT_DOWN
656885,其他,馬公,2018-01-02 22:00:00,22,47.0,41.5,37.51763654955,-9.482363450450002,TT_DOWN
656886,其他,馬公,2018-01-02 23:00:00,23,45.0,38.6,34.80630512742,-10.193694872579997,TT_DOWN
656887,其他,馬公,2018-01-03 00:00:00,0,44.0,36.3,32.65593882711,-11.344061172890001,TT_DOWN
656888,其他,馬公,2018-01-03 01:00:00,1,42.0,34.3,30.786055087709997,-11.213944912290003,TT_DOWN
656889,其他,馬公,2018-01-03 02:00:00,2,40.0,34.4,30.879549274679995,-9.120450725320005,TT_DOWN
656890,其他,馬公,2018-01-03 03:00:00,3,38.0,32.9,29.47713647013,-8.522863529870001,TT_DOWN
656891,其他,馬公,2018-01-03 04:00:00,4,37.0,31.3,27.981229478610004,-9.018770521389996,TT_DOWN
656892,其他,馬公,2018-01-03 05:00:00,5,35.0,29.9,26.67231086103,-8.327689138970001,TT_DOWN
656893,其他,馬公,2018-01-03 06:00:00,6,33.0,28.6,25.45688643042,-7.543113569580001,TT_DOWN
656894,其他,馬公,2018-01-03 07:00:00,7,32.0,24.9,21.997601512529997,-10.002398487470003,TT_DOWN
656895,其他,馬公,2018-01-03 08:00:00,8,31.0,28.5,25.36339224345,-5.636607756549999,TT_DOWN
656896,其他,馬公,2018-01-03 09:00:00,9,30.0,33.2,29.75761903104,-0.24238096895999917,TT_DOWN
656897,其他,馬公,2018-01-03 10:00:00,10,31.0,36.8,33.12340976196,2.123409761959998,TT_DOWN
656898,其他,馬公,2018-01-03 11:00:00,11,32.0,40.8,36.863177240759995,4.863177240759995,TT_DOWN
656899,其他,馬公,2018-01-03 12:00:00,12,34.0,47.0,42.6598168329,8.659816832899999,TT_DOWN
656900,其他,馬公,2018-01-03 13:00:00,13,37.0,52.7,47.988985490190004,10.988985490190004,TT_DOWN
656901,其他,馬公,2018-01-03 14:00:00,14,40.0,53.1,48.362962238070004,8.362962238070004,TT_DOWN
656902,其他,馬公,2018-01-03 15:00:00,15,43.0,52.5,47.80199711625,4.80199711625,TT_DOWN
656903,其他,馬公,2018-01-03 16:00:00,16,45.0,47.1,42.753311019870004,-2.2466889801299956,TT_DOWN
656904,其他,馬公,2018-01-03 17:00:00,17,47.0,47.2,42.84680520684,-4.153194793159997,TT_DOWN
656905,其他,馬公,2018-01-03 18:00:00,18,48.0,46.7,42.379334271990004,-5.620665728009996,TT_DOWN
656906,其他,馬公,2018-01-03 19:00:00,19,49.0,43.6,39.48101447592,-9.518985524080001,TT_DOWN
656907,其他,馬公,2018-01-03 20:00:00,20,48.0,39.4,35.55425862318,-12.445741376820003,TT_DOWN
656908,其他,馬公,2018-01-03 21:00:00,21,46.0,38.0,34.2453400056,-11.7546599944,TT_DOWN
656909,其他,馬公,2018-01-03 22:00:00,22,44.0,38.4,34.61931675348,-9.38068324652,TT_DOWN
656910,其他,馬公,2018-01-03 23:00:00,23,42.0,37.3,33.59088069681,-8.409119303190003,TT_DOWN
656911,其他,馬公,2018-01-04 00:00:00,0,41.0,37.5,33.77786907075,-7.2221309292499996,TT_DOWN
656912,其他,馬公,2018-01-04 01:00:00,1,40.0,37.7,33.964857444690004,-6.035142555309996,TT_DOWN
656913,其他,馬公,2018-01-04 02:00:00,2,39.0,37.9,34.15184581863,-4.848154181369999,TT_DOWN
656914,其他,馬公,2018-01-04 03:00:00,3,38.0,37.9,34.15184581863,-3.848154181369999,TT_DOWN
656915,其他,馬公,2018-01-04 04:00:00,4,38.0,37.4,33.684374883779995,-4.315625116220005,TT_DOWN
656916,其他,馬公,2018-01-04 05:00:00,5,38.0,36.7,33.02991557499,-4.9700844250100005,TT_DOWN
656917,其他,馬公,2018-01-04 06:00:00,6,37.0,36.7,33.02991557499,-3.9700844250100005,TT_DOWN
656918,其他,馬公,2018-01-04 07:00:00,7,37.0,35.2,31.627502770440003,-5.372497229559997,TT_DOWN
656919,其他,馬公,2018-01-04 08:00:00,8,37.0,34.8,31.253526022559996,-5.746473977440004,TT_DOWN
656920,其他,馬公,2018-01-04 09:00:00,9,36.0,34.6,31.06653764862,-4.933462351380001,TT_DOWN
656921,其他,馬公,2018-01-04 10:00:00,10,36.0,35.1,31.534008583469998,-4.465991416530002,TT_DOWN
656922,其他,馬公,2018-01-04 11:00:00,11,36.0,36.3,32.65593882711,-3.344061172890001,TT_DOWN
656923,其他,馬公,2018-01-04 12:00:00,12,36.0,36.8,33.12340976196,-2.876590238040002,TT_DOWN
656924,其他,馬公,2018-01-04 13:00:00,13,36.0,37.5,33.77786907075,-2.2221309292499996,TT_DOWN
656925,其他,馬公,2018-01-04 14:00:00,14,36.0,37.9,34.15184581863,-1.848154181369999,TT_DOWN
656926,其他,馬公,2018-01-04 15:00:00,15,36.0,35.3,31.720996957409994,-4.279003042590006,TT_DOWN
656927,其他,馬公,2018-01-04 16:00:00,16,36.0,33.8,30.318584152859998,-5.681415847140002,TT_DOWN
