,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
665599,其他,馬祖,2018-01-01 00:00:00,0,63.0,58.4,52.294787773799996,-10.705212226200004,TT_DOWN
665600,其他,馬祖,2018-01-01 01:00:00,1,61.0,57.1,51.1178684744,-9.882131525600002,TT_DOWN
665601,其他,馬祖,2018-01-01 02:00:00,2,60.0,56.5,50.5746749516,-9.425325048399998,TT_DOWN
665602,其他,馬祖,2018-01-01 03:00:00,3,59.0,55.4,49.578820159799996,-9.421179840200004,TT_DOWN
665603,其他,馬祖,2018-01-01 04:00:00,4,58.0,55.3,49.488287906,-8.511712094000004,TT_DOWN
665604,其他,馬祖,2018-01-01 05:00:00,5,57.0,54.6,48.8545621294,-8.145437870599999,TT_DOWN
665605,其他,馬祖,2018-01-01 06:00:00,6,56.0,54.2,48.492433114200004,-7.507566885799996,TT_DOWN
665606,其他,馬祖,2018-01-01 07:00:00,7,56.0,53.4,47.768175083799996,-8.231824916200004,TT_DOWN
665607,其他,馬祖,2018-01-01 08:00:00,8,55.0,53.9,48.2208363528,-6.779163647200001,TT_DOWN
665608,其他,馬祖,2018-01-01 09:00:00,9,55.0,55.0,49.2166911446,-5.783308855400001,TT_DOWN
665609,其他,馬祖,2018-01-01 10:00:00,10,55.0,60.1,53.8338360884,-1.1661639116000018,TT_DOWN
665610,其他,馬祖,2018-01-01 11:00:00,11,56.0,63.6,57.0024649714,1.002464971400002,TT_DOWN
665611,其他,馬祖,2018-01-01 12:00:00,12,58.0,68.1,61.07641639239999,3.0764163923999917,TT_DOWN
665612,其他,馬祖,2018-01-01 13:00:00,13,60.0,68.8,61.710142168999994,1.7101421689999938,TT_DOWN
665613,其他,馬祖,2018-01-01 14:00:00,14,61.0,68.5,61.438545407599996,0.43854540759999594,TT_DOWN
665614,其他,馬祖,2018-01-01 15:00:00,15,63.0,69.7,62.5249324532,-0.4750675467999983,TT_DOWN
665615,其他,馬祖,2018-01-01 16:00:00,16,65.0,68.4,61.348013153800004,-3.6519868461999963,TT_DOWN
665616,其他,馬祖,2018-01-01 17:00:00,17,67.0,67.0,60.0805616006,-6.919438399400001,TT_DOWN
665617,其他,馬祖,2018-01-01 18:00:00,18,68.0,67.3,60.352158362,-7.647841638000003,TT_DOWN
665618,其他,馬祖,2018-01-01 19:00:00,19,68.0,69.0,61.8912066766,-6.1087933234000005,TT_DOWN
665619,其他,馬祖,2018-01-01 20:00:00,20,68.0,66.9,59.99002934680001,-8.009970653199993,TT_DOWN
665620,其他,馬祖,2018-01-01 21:00:00,21,68.0,66.1,59.26577131639999,-8.734228683600008,TT_DOWN
665621,其他,馬祖,2018-01-01 22:00:00,22,67.0,61.7,55.2823521492,-11.717647850799999,TT_DOWN
