,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
577999,高屏空品區,鳳山,2018-01-01 00:00:00,0,21.0,5.2,5.34648300764,-15.65351699236,TT_DOWN
578000,高屏空品區,鳳山,2018-01-01 01:00:00,1,16.0,4.5,4.820305684149999,-11.17969431585,TT_DOWN
578001,高屏空品區,鳳山,2018-01-01 02:00:00,2,12.0,3.4,3.9934556043799994,-8.00654439562,TT_DOWN
578002,高屏空品區,鳳山,2018-01-01 03:00:00,3,9.0,4.8,5.045810251359999,-3.954189748640001,TT_DOWN
578003,高屏空品區,鳳山,2018-01-01 04:00:00,4,7.0,3.3,3.918287415309999,-3.081712584690001,TT_DOWN
578004,高屏空品區,鳳山,2018-01-01 05:00:00,5,5.0,2.1,3.01626914647,-1.98373085353,TT_DOWN
578005,高屏空品區,鳳山,2018-01-01 06:00:00,6,4.0,1.9,2.8659327683299995,-1.1340672316700005,TT_DOWN
578006,高屏空品區,鳳山,2018-01-01 07:00:00,7,4.0,4.4,4.74513749508,0.7451374950799998,TT_DOWN
578007,高屏空品區,鳳山,2018-01-01 08:00:00,8,4.0,7.5,7.075351356249999,3.075351356249999,TT_DOWN
578008,高屏空品區,鳳山,2018-01-01 09:00:00,9,6.0,19.9,16.396206800929995,10.396206800929995,TT_DOWN
578009,高屏空品區,鳳山,2018-01-01 10:00:00,10,10.0,36.9,29.174798942829995,19.174798942829995,TT_DOWN
578010,高屏空品區,鳳山,2018-01-01 11:00:00,11,16.0,53.4,41.577550139379994,25.577550139379994,TT_DOWN
578011,高屏空品區,鳳山,2018-01-01 12:00:00,12,24.0,66.5,51.42458290754999,27.42458290754999,TT_DOWN
578012,高屏空品區,鳳山,2018-01-01 13:00:00,13,33.0,71.7,55.333328739189994,22.333328739189994,TT_DOWN
578013,高屏空品區,鳳山,2018-01-01 14:00:00,14,41.0,71.6,55.25816055011999,14.258160550119989,TT_DOWN
578014,高屏空品區,鳳山,2018-01-01 15:00:00,15,49.0,67.6,52.25143298731999,3.251432987319987,TT_DOWN
578015,高屏空品區,鳳山,2018-01-01 16:00:00,16,55.0,56.2,43.68225943333999,-11.317740566660007,TT_DOWN
578016,高屏空品區,鳳山,2018-01-01 17:00:00,17,59.0,47.4,37.067458795179995,-21.932541204820005,TT_DOWN
578017,高屏空品區,鳳山,2018-01-01 18:00:00,18,59.0,35.7,28.27278067399,-30.72721932601,TT_DOWN
578018,高屏空品區,鳳山,2018-01-01 19:00:00,19,56.0,27.6,22.184157359319997,-33.81584264068,TT_DOWN
578019,高屏空品區,鳳山,2018-01-01 20:00:00,20,51.0,26.3,21.206970901409996,-29.793029098590004,TT_DOWN
578020,高屏空品區,鳳山,2018-01-01 21:00:00,21,44.0,22.2,18.125075149539995,-25.874924850460005,TT_DOWN
578021,高屏空品區,鳳山,2018-01-01 22:00:00,22,37.0,16.3,13.69015199441,-23.30984800559,TT_DOWN
578022,高屏空品區,鳳山,2018-01-01 23:00:00,23,30.0,11.3,9.93174254091,-20.06825745909,TT_DOWN
578023,高屏空品區,鳳山,2018-01-02 00:00:00,0,25.0,12.2,10.60825624254,-14.39174375746,TT_DOWN
578024,高屏空品區,鳳山,2018-01-02 01:00:00,1,20.0,7.3,6.925014978109999,-13.07498502189,TT_DOWN
578025,高屏空品區,鳳山,2018-01-02 02:00:00,2,16.0,6.6,6.3988376546199985,-9.60116234538,TT_DOWN
578026,高屏空品區,鳳山,2018-01-02 03:00:00,3,13.0,5.3,5.421651196709999,-7.578348803290001,TT_DOWN
578027,高屏空品區,鳳山,2018-01-02 04:00:00,4,12.0,13.9,11.88611545673,-0.1138845432700002,TT_DOWN
578028,高屏空品區,鳳山,2018-01-02 05:00:00,5,10.0,6.9,6.624342221829999,-3.375657778170001,TT_DOWN
578029,高屏空品區,鳳山,2018-01-02 06:00:00,6,9.0,6.8,6.549174032759999,-2.450825967240001,TT_DOWN
