,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
411591,雲嘉南空品區,麥寮,2018-01-01 00:00:00,0,25.0,25.4,22.15736312846,-2.8426368715400017,TT_DOWN
411592,雲嘉南空品區,麥寮,2018-01-01 01:00:00,1,25.0,28.8,25.01375972622,0.013759726220001767,TT_DOWN
411593,雲嘉南空品區,麥寮,2018-01-01 02:00:00,2,24.0,23.5,20.5611415003,-3.4388584997000002,TT_DOWN
411594,雲嘉南空品區,麥寮,2018-01-01 03:00:00,3,24.0,26.6,23.16550310414,-0.8344968958599992,TT_DOWN
411595,雲嘉南空品區,麥寮,2018-01-01 04:00:00,4,25.0,29.1,25.26579472014,0.2657947201400006,TT_DOWN
411596,雲嘉南空品區,麥寮,2018-01-01 05:00:00,5,25.0,24.5,21.401258146700002,-3.598741853299998,TT_DOWN
411597,雲嘉南空品區,麥寮,2018-01-01 06:00:00,6,25.0,24.6,21.48526981134,-3.5147301886599998,TT_DOWN
411598,雲嘉南空品區,麥寮,2018-01-01 07:00:00,7,26.0,24.3,21.23323481742,-4.766765182579999,TT_DOWN
411599,雲嘉南空品區,麥寮,2018-01-01 08:00:00,8,27.0,31.3,27.11405134222,0.11405134222000157,TT_DOWN
411600,雲嘉南空品區,麥寮,2018-01-01 09:00:00,9,28.0,40.8,35.09515948302,7.095159483019998,TT_DOWN
411601,雲嘉南空品區,麥寮,2018-01-01 10:00:00,10,31.0,45.6,39.12771938574,8.12771938574,TT_DOWN
411602,雲嘉南空品區,麥寮,2018-01-01 11:00:00,11,34.0,50.8,43.49632594702,9.496325947019997,TT_DOWN
411603,雲嘉南空品區,麥寮,2018-01-01 12:00:00,12,37.0,57.0,48.7050491547,11.7050491547,TT_DOWN
411604,雲嘉南空品區,麥寮,2018-01-01 13:00:00,13,42.0,58.7,50.133247453580005,8.133247453580005,TT_DOWN
411605,雲嘉南空品區,麥寮,2018-01-01 14:00:00,14,46.0,57.4,49.04109581326,3.04109581326,TT_DOWN
411606,雲嘉南空品區,麥寮,2018-01-01 15:00:00,15,49.0,53.6,45.84865255694,-3.151347443059997,TT_DOWN
411607,雲嘉南空品區,麥寮,2018-01-01 16:00:00,16,52.0,49.8,42.65620930062,-9.343790699380001,TT_DOWN
411608,雲嘉南空品區,麥寮,2018-01-01 17:00:00,17,52.0,46.7,40.05184769678,-11.948152303219999,TT_DOWN
411609,雲嘉南空品區,麥寮,2018-01-01 18:00:00,18,52.0,44.8,38.45562606862,-13.544373931380001,TT_DOWN
411610,雲嘉南空品區,麥寮,2018-01-01 19:00:00,19,51.0,41.3,35.51521780622,-15.48478219378,TT_DOWN
411611,雲嘉南空品區,麥寮,2018-01-01 20:00:00,20,49.0,38.0,32.74283287310001,-16.257167126899994,TT_DOWN
411612,雲嘉南空品區,麥寮,2018-01-01 21:00:00,21,46.0,37.3,32.15475122062,-13.84524877938,TT_DOWN
411613,雲嘉南空品區,麥寮,2018-01-01 22:00:00,22,43.0,31.8,27.53410966542,-15.46589033458,TT_DOWN
411614,雲嘉南空品區,麥寮,2018-01-01 23:00:00,23,39.0,23.4,20.47712983566,-18.52287016434,TT_DOWN
411615,雲嘉南空品區,麥寮,2018-01-02 00:00:00,0,35.0,17.6,15.604453286540002,-19.39554671346,TT_DOWN
411616,雲嘉南空品區,麥寮,2018-01-02 01:00:00,1,31.0,12.7,11.487881719179999,-19.51211828082,TT_DOWN
411617,雲嘉南空品區,麥寮,2018-01-02 02:00:00,2,27.0,10.8,9.89166009102,-17.10833990898,TT_DOWN
411618,雲嘉南空品區,麥寮,2018-01-02 03:00:00,3,22.0,7.6,7.203286822540001,-14.79671317746,TT_DOWN
411619,雲嘉南空品區,麥寮,2018-01-02 04:00:00,4,18.0,5.0,5.018983541900001,-12.9810164581,TT_DOWN
411620,雲嘉南空品區,麥寮,2018-01-02 05:00:00,5,14.0,2.7,3.08671525518,-10.91328474482,TT_DOWN
411621,雲嘉南空品區,麥寮,2018-01-02 06:00:00,6,10.0,2.3,2.7506685966199997,-7.24933140338,TT_DOWN
411622,雲嘉南空品區,麥寮,2018-01-02 07:00:00,7,8.0,4.4,4.5149135540600005,-3.4850864459399995,TT_DOWN
411623,雲嘉南空品區,麥寮,2018-01-02 08:00:00,8,7.0,13.2,11.90794004238,4.90794004238,TT_DOWN
