,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
210239,北部空品區,龍潭,2018-01-01 00:00:00,0,42.0,46.3,38.99358453948,-3.006415460520003,TT_DOWN
210240,北部空品區,龍潭,2018-01-01 01:00:00,1,44.0,48.8,40.81389658847999,-3.1861034115200084,TT_DOWN
210241,北部空品區,龍潭,2018-01-01 02:00:00,2,45.0,49.9,41.61483389004,-3.3851661099599966,TT_DOWN
210242,北部空品區,龍潭,2018-01-01 03:00:00,3,47.0,49.3,41.17795899827999,-5.8220410017200095,TT_DOWN
210243,北部空品區,龍潭,2018-01-01 04:00:00,4,47.0,48.2,40.37702169672001,-6.622978303279993,TT_DOWN
210244,北部空品區,龍潭,2018-01-01 05:00:00,5,48.0,47.5,39.867334322999994,-8.132665677000006,TT_DOWN
210245,北部空品區,龍潭,2018-01-01 06:00:00,6,48.0,46.7,39.284834467319996,-8.715165532680004,TT_DOWN
210246,北部空品區,龍潭,2018-01-01 07:00:00,7,48.0,44.7,37.82858482812,-10.17141517188,TT_DOWN
210247,北部空品區,龍潭,2018-01-01 08:00:00,8,47.0,43.3,36.809210080679996,-10.190789919320004,TT_DOWN
210248,北部空品區,龍潭,2018-01-01 09:00:00,9,47.0,43.6,37.02764752656,-9.972352473439997,TT_DOWN
210249,北部空品區,龍潭,2018-01-01 10:00:00,10,46.0,44.9,37.97420979204,-8.02579020796,TT_DOWN
210250,北部空品區,龍潭,2018-01-01 11:00:00,11,46.0,45.4,38.33827220184,-7.661727798160001,TT_DOWN
210251,北部空品區,龍潭,2018-01-01 12:00:00,12,45.0,44.8,37.90139731008,-7.09860268992,TT_DOWN
210252,北部空品區,龍潭,2018-01-01 13:00:00,13,45.0,45.3,38.26545971988,-6.734540280120001,TT_DOWN
210253,北部空品區,龍潭,2018-01-01 14:00:00,14,44.0,43.4,36.882022562639996,-7.117977437360004,TT_DOWN
210254,北部空品區,龍潭,2018-01-01 15:00:00,15,44.0,40.7,34.91608554972,-9.083914450279998,TT_DOWN
210255,北部空品區,龍潭,2018-01-01 16:00:00,16,43.0,37.0,32.2220237172,-10.777976282799997,TT_DOWN
210256,北部空品區,龍潭,2018-01-01 17:00:00,17,42.0,33.7,29.819211812520003,-12.180788187479997,TT_DOWN
210257,北部空品區,龍潭,2018-01-01 18:00:00,18,40.0,33.5,29.6735868486,-10.3264131514,TT_DOWN
210258,北部空品區,龍潭,2018-01-01 19:00:00,19,39.0,34.9,30.692961596039996,-8.307038403960004,TT_DOWN
210259,北部空品區,龍潭,2018-01-01 20:00:00,20,38.0,33.4,29.60077436664,-8.39922563336,TT_DOWN
210260,北部空品區,龍潭,2018-01-01 21:00:00,21,36.0,35.1,30.83858655996,-5.1614134400400005,TT_DOWN
210261,北部空品區,龍潭,2018-01-01 22:00:00,22,35.0,34.7,30.54733663212,-4.45266336788,TT_DOWN
210262,北部空品區,龍潭,2018-01-01 23:00:00,23,35.0,35.6,31.20264896976,-3.7973510302400015,TT_DOWN
210263,北部空品區,龍潭,2018-01-02 00:00:00,0,35.0,38.8,33.53264839248,-1.4673516075200013,TT_DOWN
210264,北部空品區,龍潭,2018-01-02 01:00:00,1,36.0,38.8,33.53264839248,-2.4673516075200013,TT_DOWN
210265,北部空品區,龍潭,2018-01-02 02:00:00,2,36.0,39.6,34.11514824816,-1.884851751840003,TT_DOWN
210266,北部空品區,龍潭,2018-01-02 03:00:00,3,37.0,38.9,33.60546087444,-3.3945391255600015,TT_DOWN
210267,北部空品區,龍潭,2018-01-02 04:00:00,4,37.0,35.6,31.20264896976,-5.7973510302400015,TT_DOWN
210268,北部空品區,龍潭,2018-01-02 05:00:00,5,36.0,28.8,26.25140019648,-9.748599803520001,TT_DOWN
210269,北部空品區,龍潭,2018-01-02 06:00:00,6,35.0,20.7,20.35358915772,-14.646410842280002,TT_DOWN
